Designator,Footprint,Quantity,Value,LCSC Part #
D0,0603,1,LED,C2286
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_SOD-123,61,1N4148W,C81598
J2,Molex_200528-0260_1x26-1MP_P1.00mm_Horizontal,1,Conn_01x26,C60248
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R63, R64, R65, R67, R68, R7, R8, R9",0603,66,100,C22775
RV1,Potentiometer_Bourns_TC33X_Vertical,1,R_Potentiometer,C720647
"SW0, SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SWA1, SWB1, SWC1, SWCOMMA1, SWD1, SWDASH1, SWE1, SWEQUAL1, SWESC1, SWF1, SWFN1, SWFN2, SWFN3, SWFN4, SWG1, SWGT1, SWH1, SWI1, SWINV1, SWJ1, SWK1, SWL1, SWLT1, SWM1, SWN1, SWO1, SWP1, SWPERIOD1, SWPLUS1, SWQ1, SWR1, SWS1, SWSEMI1, SWSLASH1, SWSTAR1, SWT1, SWU1, SWV1, SWW1, SWX1, SWY1, SWZ1",MX-1-00U-LED,52,SWITCH,C193191
"SWBRK1, SWCTL1",MX-1-25U-LED,2,SWITCH,C193191
"SWCPS1, SWRIGHTSFT1",MX-1-75U-LED,2,SWITCH,C193191
SWDEL1,MX-2-00U-LED,1,SWITCH,C193191
"SWHLP1, SWOPTION1, SWRESET1, SWSELECT1, SWSTART1",Choc-1-00U-LED,5,SWITCH,C193191
SWLEFTSFT1,MX-2-25U-LED,1,SWITCH,C193191
SWRET2,MX-ISO-RETURN,1,SWITCH,C193191
SWSPC1,MX-6-25-U-LED,1,SWITCH,C193191
SWTAB1,MX-1-50U-LED,1,SWITCH,C193191
