Designator,Mid X,Mid Y,Layer,Rotation,,
J1,90.4875,-71.4375,top,180,,
J2,133.594,-62.35,top,-90,,
J3,139.925,-62.35,top,90,,
J4,147.725,-62.35,top,90,,
JP1,161.8,-64.75,top,180,,
R1,94,-121.95,top,180,,
R2,171.4,-115.35,top,0,,
R3,100.4,-102.95,top,180,,
R4,138.4,-102.95,top,180,,
R5,138.4,-115.35,top,180,,
R6,109.6,-115.35,top,180,,
R7,146,-115.35,top,0,,
R8,166.4,-64.75,top,180,,
R9,166.4,-69.15,top,180,,
RV1,86.131,-80.771,top,0,,
RV2,167.969,-80.771,top,0,,
SW1,82.55,-121.92,top,180,-5.08,-127
SW2,171.45,-121.92,top,180,-5.08,-127
SW3,88.9,-102.87,top,180,-5.08,-107.95
SW4,127,-102.87,top,180,-5.08,-107.95
SW5,127,-121.92,top,180,-5.08,-127
SW6,107.95,-121.92,top,180,-5.08,-127
SW7,146.05,-121.92,top,180,-5.08,-127
